,Unidade Territorial,Referência,Percentual fam unip pbf
1429,GOIÁS,2021-05-01,10.6
1430,DISTRITO FEDERAL,2021-05-01,16.11
1431,RONDÔNIA,2021-06-01,6.61
1432,ACRE,2021-06-01,5.33
1433,AMAZONAS,2021-06-01,6.48
1434,RORAIMA,2021-06-01,13.55
1435,PARÁ,2021-06-01,8.72
1436,AMAPÁ,2021-06-01,6.01
1437,TOCANTINS,2021-06-01,9.65
1438,MARANHÃO,2021-06-01,9.82
1439,PIAUÍ,2021-06-01,15.12
1440,CEARÁ,2021-06-01,13.29
1441,RIO GRANDE DO NORTE,2021-06-01,14.34
1442,PARAÍBA,2021-06-01,16.5
1443,PERNAMBUCO,2021-06-01,19.4
1444,ALAGOAS,2021-06-01,15.54
1445,SERGIPE,2021-06-01,19.45
1446,BAHIA,2021-06-01,17.05
1447,MINAS GERAIS,2021-06-01,15.62
1448,ESPÍRITO SANTO,2021-06-01,14.89
1449,RIO DE JANEIRO,2021-06-01,20.41
1450,SÃO PAULO,2021-06-01,19.4
1451,PARANÁ,2021-06-01,16.4
1452,SANTA CATARINA,2021-06-01,16.04
1453,RIO GRANDE DO SUL,2021-06-01,17.6
1454,MATO GROSSO DO SUL,2021-06-01,13.84
1455,MATO GROSSO,2021-06-01,12.75
1456,GOIÁS,2021-06-01,10.65
1457,DISTRITO FEDERAL,2021-06-01,16.1
1458,RONDÔNIA,2021-07-01,6.62
1459,ACRE,2021-07-01,5.28
1460,AMAZONAS,2021-07-01,6.44
1461,RORAIMA,2021-07-01,13.54
1462,PARÁ,2021-07-01,8.73
1463,AMAPÁ,2021-07-01,6.02
1464,TOCANTINS,2021-07-01,9.63
1465,MARANHÃO,2021-07-01,9.84
1466,PIAUÍ,2021-07-01,15.08
1467,CEARÁ,2021-07-01,13.26
1468,RIO GRANDE DO NORTE,2021-07-01,14.31
1469,PARAÍBA,2021-07-01,16.44
1470,PERNAMBUCO,2021-07-01,19.29
1471,ALAGOAS,2021-07-01,15.46
1472,SERGIPE,2021-07-01,19.4
1473,BAHIA,2021-07-01,16.99
1474,MINAS GERAIS,2021-07-01,15.48
1475,ESPÍRITO SANTO,2021-07-01,14.77
1476,RIO DE JANEIRO,2021-07-01,20.18
1477,SÃO PAULO,2021-07-01,19.15
1478,PARANÁ,2021-07-01,16.25
1479,SANTA CATARINA,2021-07-01,15.89
1480,RIO GRANDE DO SUL,2021-07-01,17.41
1481,MATO GROSSO DO SUL,2021-07-01,13.75
1482,MATO GROSSO,2021-07-01,12.65
1483,GOIÁS,2021-07-01,10.56
1484,DISTRITO FEDERAL,2021-07-01,15.86
1485,RONDÔNIA,2021-08-01,6.67
1486,ACRE,2021-08-01,5.31
1487,AMAZONAS,2021-08-01,6.46
1488,RORAIMA,2021-08-01,13.55
1489,PARÁ,2021-08-01,8.76
1490,AMAPÁ,2021-08-01,6.05
1491,TOCANTINS,2021-08-01,9.67
1492,MARANHÃO,2021-08-01,9.88
1493,PIAUÍ,2021-08-01,15.12
1494,CEARÁ,2021-08-01,13.3
1495,RIO GRANDE DO NORTE,2021-08-01,14.36
1496,PARAÍBA,2021-08-01,16.48
1497,PERNAMBUCO,2021-08-01,19.31
1498,ALAGOAS,2021-08-01,15.49
1499,SERGIPE,2021-08-01,19.42
1500,BAHIA,2021-08-01,17.02
1501,MINAS GERAIS,2021-08-01,15.51
1502,ESPÍRITO SANTO,2021-08-01,14.8
1503,RIO DE JANEIRO,2021-08-01,20.22
1504,SÃO PAULO,2021-08-01,19.18
1505,PARANÁ,2021-08-01,16.29
1506,SANTA CATARINA,2021-08-01,15.91
1507,RIO GRANDE DO SUL,2021-08-01,17.43
1508,MATO GROSSO DO SUL,2021-08-01,13.8
1509,MATO GROSSO,2021-08-01,12.66
1510,GOIÁS,2021-08-01,10.6
1511,DISTRITO FEDERAL,2021-08-01,15.86
1512,RONDÔNIA,2021-09-01,6.75
1513,ACRE,2021-09-01,5.37
1514,AMAZONAS,2021-09-01,6.49
1515,RORAIMA,2021-09-01,13.58
1516,PARÁ,2021-09-01,8.81
1517,AMAPÁ,2021-09-01,6.11
1518,TOCANTINS,2021-09-01,9.72
1519,MARANHÃO,2021-09-01,9.92
1520,PIAUÍ,2021-09-01,15.16
1521,CEARÁ,2021-09-01,13.35
1522,RIO GRANDE DO NORTE,2021-09-01,14.39
1523,PARAÍBA,2021-09-01,16.51
1524,PERNAMBUCO,2021-09-01,19.35
1525,ALAGOAS,2021-09-01,15.53
1526,SERGIPE,2021-09-01,19.45
1527,BAHIA,2021-09-01,17.06
1528,MINAS GERAIS,2021-09-01,15.55
1529,ESPÍRITO SANTO,2021-09-01,14.86
1530,RIO DE JANEIRO,2021-09-01,20.26
1531,SÃO PAULO,2021-09-01,19.2
1532,PARANÁ,2021-09-01,16.34
1533,SANTA CATARINA,2021-09-01,15.93
1534,RIO GRANDE DO SUL,2021-09-01,17.47
1535,MATO GROSSO DO SUL,2021-09-01,13.85
1536,MATO GROSSO,2021-09-01,12.67
1537,GOIÁS,2021-09-01,10.65
1538,DISTRITO FEDERAL,2021-09-01,15.87
1539,RONDÔNIA,2021-10-01,6.44
1540,ACRE,2021-10-01,5.31
1541,AMAZONAS,2021-10-01,6.42
1542,RORAIMA,2021-10-01,13.38
1543,PARÁ,2021-10-01,8.74
1544,AMAPÁ,2021-10-01,6.06
1545,TOCANTINS,2021-10-01,9.56
1546,MARANHÃO,2021-10-01,9.9
1547,PIAUÍ,2021-10-01,15.15
1548,CEARÁ,2021-10-01,13.34
1549,RIO GRANDE DO NORTE,2021-10-01,14.34
1550,PARAÍBA,2021-10-01,16.49
1551,PERNAMBUCO,2021-10-01,19.34
1552,ALAGOAS,2021-10-01,15.49
1553,SERGIPE,2021-10-01,19.42
1554,BAHIA,2021-10-01,17.04
1555,MINAS GERAIS,2021-10-01,15.37
1556,ESPÍRITO SANTO,2021-10-01,14.57
1557,RIO DE JANEIRO,2021-10-01,20.1
1558,SÃO PAULO,2021-10-01,19.0
1559,PARANÁ,2021-10-01,15.98
1560,SANTA CATARINA,2021-10-01,15.49
1561,RIO GRANDE DO SUL,2021-10-01,17.19
1562,MATO GROSSO DO SUL,2021-10-01,13.41
1563,MATO GROSSO,2021-10-01,12.32
1564,GOIÁS,2021-10-01,10.43
1565,DISTRITO FEDERAL,2021-10-01,15.76
1566,RONDÔNIA,2021-11-01,6.66
1567,ACRE,2021-11-01,5.35
1568,AMAZONAS,2021-11-01,6.61
1569,RORAIMA,2021-11-01,13.59
1570,PARÁ,2021-11-01,8.89
1571,AMAPÁ,2021-11-01,6.16
1572,TOCANTINS,2021-11-01,9.67
1573,MARANHÃO,2021-11-01,10.16
1574,PIAUÍ,2021-11-01,15.26
1575,CEARÁ,2021-11-01,13.52
1576,RIO GRANDE DO NORTE,2021-11-01,14.5
1577,PARAÍBA,2021-11-01,16.65
1578,PERNAMBUCO,2021-11-01,19.57
1579,ALAGOAS,2021-11-01,15.66
1580,SERGIPE,2021-11-01,19.61
1581,BAHIA,2021-11-01,17.25
1582,MINAS GERAIS,2021-11-01,15.52
1583,ESPÍRITO SANTO,2021-11-01,14.62
1584,RIO DE JANEIRO,2021-11-01,20.22
1585,SÃO PAULO,2021-11-01,19.09
1586,PARANÁ,2021-11-01,16.02
1587,SANTA CATARINA,2021-11-01,15.58
1588,RIO GRANDE DO SUL,2021-11-01,17.39
1589,MATO GROSSO DO SUL,2021-11-01,13.51
1590,MATO GROSSO,2021-11-01,12.41
1591,GOIÁS,2021-11-01,10.54
1592,DISTRITO FEDERAL,2021-11-01,15.84
1593,RONDÔNIA,2021-12-01,9.1
1594,ACRE,2021-12-01,8.1
1595,AMAZONAS,2021-12-01,9.73
1596,RORAIMA,2021-12-01,16.0
1597,PARÁ,2021-12-01,12.52
1598,AMAPÁ,2021-12-01,11.07
1599,TOCANTINS,2021-12-01,12.57
1600,MARANHÃO,2021-12-01,12.82
1601,PIAUÍ,2021-12-01,19.34
1602,CEARÁ,2021-12-01,16.97
1603,RIO GRANDE DO NORTE,2021-12-01,18.02
1604,PARAÍBA,2021-12-01,20.58
1605,PERNAMBUCO,2021-12-01,23.61
1606,ALAGOAS,2021-12-01,18.77
1607,SERGIPE,2021-12-01,23.79
1608,BAHIA,2021-12-01,20.94
1609,MINAS GERAIS,2021-12-01,19.37
1610,ESPÍRITO SANTO,2021-12-01,17.95
1611,RIO DE JANEIRO,2021-12-01,25.6
1612,SÃO PAULO,2021-12-01,21.57
1613,PARANÁ,2021-12-01,18.63
1614,SANTA CATARINA,2021-12-01,18.05
1615,RIO GRANDE DO SUL,2021-12-01,20.53
1616,MATO GROSSO DO SUL,2021-12-01,17.67
1617,MATO GROSSO,2021-12-01,16.31
1618,GOIÁS,2021-12-01,13.55
1619,DISTRITO FEDERAL,2021-12-01,17.55
1620,RONDÔNIA,2022-01-01,9.3
1621,ACRE,2022-01-01,8.55
1622,AMAZONAS,2022-01-01,10.16
1623,RORAIMA,2022-01-01,16.14
1624,PARÁ,2022-01-01,12.88
1625,AMAPÁ,2022-01-01,11.6
1626,TOCANTINS,2022-01-01,12.77
1627,MARANHÃO,2022-01-01,13.24
1628,PIAUÍ,2022-01-01,20.0
1629,CEARÁ,2022-01-01,17.4
1630,RIO GRANDE DO NORTE,2022-01-01,18.54
1631,PARAÍBA,2022-01-01,21.16
1632,PERNAMBUCO,2022-01-01,24.26
1633,ALAGOAS,2022-01-01,19.28
1634,SERGIPE,2022-01-01,24.48
1635,BAHIA,2022-01-01,21.53
1636,MINAS GERAIS,2022-01-01,19.5
1637,ESPÍRITO SANTO,2022-01-01,18.07
1638,RIO DE JANEIRO,2022-01-01,26.05
1639,SÃO PAULO,2022-01-01,21.61
1640,PARANÁ,2022-01-01,18.49
1641,SANTA CATARINA,2022-01-01,17.85
1642,RIO GRANDE DO SUL,2022-01-01,20.59
1643,MATO GROSSO DO SUL,2022-01-01,17.71
1644,MATO GROSSO,2022-01-01,16.41
1645,GOIÁS,2022-01-01,13.72
1646,DISTRITO FEDERAL,2022-01-01,17.49
1647,RONDÔNIA,2022-02-01,9.63
1648,ACRE,2022-02-01,9.49
1649,AMAZONAS,2022-02-01,10.74
1650,RORAIMA,2022-02-01,15.45
1651,PARÁ,2022-02-01,13.54
1652,AMAPÁ,2022-02-01,12.52
1653,TOCANTINS,2022-02-01,13.33
1654,MARANHÃO,2022-02-01,14.25
1655,PIAUÍ,2022-02-01,21.51
1656,CEARÁ,2022-02-01,18.53
1657,RIO GRANDE DO NORTE,2022-02-01,19.85
1658,PARAÍBA,2022-02-01,22.66
1659,PERNAMBUCO,2022-02-01,25.63
1660,ALAGOAS,2022-02-01,20.4
1661,SERGIPE,2022-02-01,26.12
1662,BAHIA,2022-02-01,22.88
1663,MINAS GERAIS,2022-02-01,20.08
1664,ESPÍRITO SANTO,2022-02-01,18.48
1665,RIO DE JANEIRO,2022-02-01,27.04
1666,SÃO PAULO,2022-02-01,21.87
1667,PARANÁ,2022-02-01,18.73
1668,SANTA CATARINA,2022-02-01,18.15
1669,RIO GRANDE DO SUL,2022-02-01,20.92
1670,MATO GROSSO DO SUL,2022-02-01,18.06
1671,MATO GROSSO,2022-02-01,16.9
1672,GOIÁS,2022-02-01,14.21
1673,DISTRITO FEDERAL,2022-02-01,17.28
1674,RONDÔNIA,2022-03-01,9.73
1675,ACRE,2022-03-01,9.56
1676,AMAZONAS,2022-03-01,10.85
1677,RORAIMA,2022-03-01,15.56
1678,PARÁ,2022-03-01,13.64
1679,AMAPÁ,2022-03-01,12.6
1680,TOCANTINS,2022-03-01,13.51
1681,MARANHÃO,2022-03-01,14.4
1682,PIAUÍ,2022-03-01,21.64
1683,CEARÁ,2022-03-01,18.71
1684,RIO GRANDE DO NORTE,2022-03-01,19.96
1685,PARAÍBA,2022-03-01,22.79
1686,PERNAMBUCO,2022-03-01,25.81
1687,ALAGOAS,2022-03-01,20.57
1688,SERGIPE,2022-03-01,26.23
1689,BAHIA,2022-03-01,23.14
1690,MINAS GERAIS,2022-03-01,20.23
1691,ESPÍRITO SANTO,2022-03-01,18.55
1692,RIO DE JANEIRO,2022-03-01,27.13
1693,SÃO PAULO,2022-03-01,21.95
1694,PARANÁ,2022-03-01,18.83
1695,SANTA CATARINA,2022-03-01,18.26
1696,RIO GRANDE DO SUL,2022-03-01,21.1
1697,MATO GROSSO DO SUL,2022-03-01,18.17
1698,MATO GROSSO,2022-03-01,16.95
1699,GOIÁS,2022-03-01,14.35
1700,DISTRITO FEDERAL,2022-03-01,17.26
1701,RONDÔNIA,2022-04-01,9.24
1702,ACRE,2022-04-01,10.17
1703,AMAZONAS,2022-04-01,11.38
1704,RORAIMA,2022-04-01,15.07
1705,PARÁ,2022-04-01,13.42
1706,AMAPÁ,2022-04-01,12.43
1707,TOCANTINS,2022-04-01,13.39
1708,MARANHÃO,2022-04-01,14.43
1709,PIAUÍ,2022-04-01,22.23
1710,CEARÁ,2022-04-01,19.05
1711,RIO GRANDE DO NORTE,2022-04-01,20.27
1712,PARAÍBA,2022-04-01,22.96
1713,PERNAMBUCO,2022-04-01,25.99
1714,ALAGOAS,2022-04-01,20.68
1715,SERGIPE,2022-04-01,26.35
1716,BAHIA,2022-04-01,23.55
1717,MINAS GERAIS,2022-04-01,20.46
1718,ESPÍRITO SANTO,2022-04-01,18.49
1719,RIO DE JANEIRO,2022-04-01,27.08
1720,SÃO PAULO,2022-04-01,22.06
1721,PARANÁ,2022-04-01,18.64
1722,SANTA CATARINA,2022-04-01,18.05
1723,RIO GRANDE DO SUL,2022-04-01,20.96
1724,MATO GROSSO DO SUL,2022-04-01,17.8
1725,MATO GROSSO,2022-04-01,16.5
1726,GOIÁS,2022-04-01,14.14
1727,DISTRITO FEDERAL,2022-04-01,17.85
1728,RONDÔNIA,2022-05-01,9.44
1729,ACRE,2022-05-01,10.24
1730,AMAZONAS,2022-05-01,11.63
1731,RORAIMA,2022-05-01,15.26
1732,PARÁ,2022-05-01,13.61
1733,AMAPÁ,2022-05-01,12.49
1734,TOCANTINS,2022-05-01,13.7
1735,MARANHÃO,2022-05-01,14.73
1736,PIAUÍ,2022-05-01,22.55
1737,CEARÁ,2022-05-01,19.46
1738,RIO GRANDE DO NORTE,2022-05-01,20.52
1739,PARAÍBA,2022-05-01,23.32
1740,PERNAMBUCO,2022-05-01,26.38
1741,ALAGOAS,2022-05-01,21.02
1742,SERGIPE,2022-05-01,26.63
1743,BAHIA,2022-05-01,24.06
1744,MINAS GERAIS,2022-05-01,20.7
1745,ESPÍRITO SANTO,2022-05-01,18.6
1746,RIO DE JANEIRO,2022-05-01,27.23
1747,SÃO PAULO,2022-05-01,22.11
1748,PARANÁ,2022-05-01,18.86
1749,SANTA CATARINA,2022-05-01,18.16
1750,RIO GRANDE DO SUL,2022-05-01,21.24
1751,MATO GROSSO DO SUL,2022-05-01,17.91
1752,MATO GROSSO,2022-05-01,16.55
1753,GOIÁS,2022-05-01,14.31
1754,DISTRITO FEDERAL,2022-05-01,17.87
1755,RONDÔNIA,2022-06-01,9.54
1756,ACRE,2022-06-01,10.3
1757,AMAZONAS,2022-06-01,11.8
1758,RORAIMA,2022-06-01,15.49
1759,PARÁ,2022-06-01,13.67
1760,AMAPÁ,2022-06-01,12.52
1761,TOCANTINS,2022-06-01,13.72
1762,MARANHÃO,2022-06-01,14.86
1763,PIAUÍ,2022-06-01,22.68
1764,CEARÁ,2022-06-01,19.71
1765,RIO GRANDE DO NORTE,2022-06-01,20.67
1766,PARAÍBA,2022-06-01,23.49
1767,PERNAMBUCO,2022-06-01,26.58
1768,ALAGOAS,2022-06-01,21.08
1769,SERGIPE,2022-06-01,26.81
1770,BAHIA,2022-06-01,24.22
1771,MINAS GERAIS,2022-06-01,20.73
1772,ESPÍRITO SANTO,2022-06-01,18.6
1773,RIO DE JANEIRO,2022-06-01,27.33
1774,SÃO PAULO,2022-06-01,22.14
1775,PARANÁ,2022-06-01,18.86
1776,SANTA CATARINA,2022-06-01,18.13
1777,RIO GRANDE DO SUL,2022-06-01,21.3
1778,MATO GROSSO DO SUL,2022-06-01,17.91
1779,MATO GROSSO,2022-06-01,16.49
1780,GOIÁS,2022-06-01,14.26
1781,DISTRITO FEDERAL,2022-06-01,17.87
1782,RONDÔNIA,2022-07-01,12.1
1783,ACRE,2022-07-01,14.24
1784,AMAZONAS,2022-07-01,16.06
1785,RORAIMA,2022-07-01,18.05
1786,PARÁ,2022-07-01,17.83
1787,AMAPÁ,2022-07-01,18.05
1788,TOCANTINS,2022-07-01,14.96
1789,MARANHÃO,2022-07-01,17.9
1790,PIAUÍ,2022-07-01,27.31
1791,CEARÁ,2022-07-01,23.11
1792,RIO GRANDE DO NORTE,2022-07-01,24.04
1793,PARAÍBA,2022-07-01,27.39
1794,PERNAMBUCO,2022-07-01,31.12
1795,ALAGOAS,2022-07-01,23.78
1796,SERGIPE,2022-07-01,31.38
1797,BAHIA,2022-07-01,27.94
1798,MINAS GERAIS,2022-07-01,22.89
1799,ESPÍRITO SANTO,2022-07-01,20.65
1800,RIO DE JANEIRO,2022-07-01,33.28
1801,SÃO PAULO,2022-07-01,24.15
1802,PARANÁ,2022-07-01,20.31
1803,SANTA CATARINA,2022-07-01,19.31
1804,RIO GRANDE DO SUL,2022-07-01,23.22
1805,MATO GROSSO DO SUL,2022-07-01,19.97
1806,MATO GROSSO,2022-07-01,18.97
1807,GOIÁS,2022-07-01,16.4
1808,DISTRITO FEDERAL,2022-07-01,20.23
1809,RONDÔNIA,2022-08-01,13.36
1810,ACRE,2022-08-01,15.59
1811,AMAZONAS,2022-08-01,17.83
1812,RORAIMA,2022-08-01,19.58
1813,PARÁ,2022-08-01,19.19
1814,AMAPÁ,2022-08-01,19.67
1815,TOCANTINS,2022-08-01,15.81
1816,MARANHÃO,2022-08-01,18.98
1817,PIAUÍ,2022-08-01,28.75
1818,CEARÁ,2022-08-01,24.33
1819,RIO GRANDE DO NORTE,2022-08-01,25.39
1820,PARAÍBA,2022-08-01,28.58
1821,PERNAMBUCO,2022-08-01,32.6
1822,ALAGOAS,2022-08-01,25.0
1823,SERGIPE,2022-08-01,33.16
1824,BAHIA,2022-08-01,29.51
1825,MINAS GERAIS,2022-08-01,24.27
1826,ESPÍRITO SANTO,2022-08-01,21.84
1827,RIO DE JANEIRO,2022-08-01,35.4
1828,SÃO PAULO,2022-08-01,25.54
1829,PARANÁ,2022-08-01,21.67
1830,SANTA CATARINA,2022-08-01,20.8
1831,RIO GRANDE DO SUL,2022-08-01,25.08
1832,MATO GROSSO DO SUL,2022-08-01,21.16
1833,MATO GROSSO,2022-08-01,20.7
1834,GOIÁS,2022-08-01,17.61
1835,DISTRITO FEDERAL,2022-08-01,21.87
1836,RONDÔNIA,2022-09-01,13.53
1837,ACRE,2022-09-01,15.6
1838,AMAZONAS,2022-09-01,17.99
1839,RORAIMA,2022-09-01,19.64
1840,PARÁ,2022-09-01,19.44
1841,AMAPÁ,2022-09-01,19.81
1842,TOCANTINS,2022-09-01,15.9
1843,MARANHÃO,2022-09-01,19.25
1844,PIAUÍ,2022-09-01,28.93
1845,CEARÁ,2022-09-01,24.62
1846,RIO GRANDE DO NORTE,2022-09-01,25.54
1847,PARAÍBA,2022-09-01,28.78
1848,PERNAMBUCO,2022-09-01,32.9
1849,ALAGOAS,2022-09-01,25.21
1850,SERGIPE,2022-09-01,33.5
1851,BAHIA,2022-09-01,29.75
1852,MINAS GERAIS,2022-09-01,24.25
1853,ESPÍRITO SANTO,2022-09-01,21.76
1854,RIO DE JANEIRO,2022-09-01,35.17
1855,SÃO PAULO,2022-09-01,25.39
1856,PARANÁ,2022-09-01,21.62
1857,SANTA CATARINA,2022-09-01,20.58
1858,RIO GRANDE DO SUL,2022-09-01,24.91
1859,MATO GROSSO DO SUL,2022-09-01,21.15
1860,MATO GROSSO,2022-09-01,20.7
1861,GOIÁS,2022-09-01,17.54
1862,DISTRITO FEDERAL,2022-09-01,21.48
1863,RONDÔNIA,2022-10-01,13.65
1864,ACRE,2022-10-01,15.91
1865,AMAZONAS,2022-10-01,18.74
1866,RORAIMA,2022-10-01,19.76
1867,PARÁ,2022-10-01,19.87
1868,AMAPÁ,2022-10-01,19.78
1869,TOCANTINS,2022-10-01,16.26
1870,MARANHÃO,2022-10-01,19.89
1871,PIAUÍ,2022-10-01,29.35
1872,CEARÁ,2022-10-01,25.28
1873,RIO GRANDE DO NORTE,2022-10-01,26.11
1874,PARAÍBA,2022-10-01,29.45
1875,PERNAMBUCO,2022-10-01,33.53
1876,ALAGOAS,2022-10-01,25.86
1877,SERGIPE,2022-10-01,34.11
1878,BAHIA,2022-10-01,30.36
1879,MINAS GERAIS,2022-10-01,24.56
1880,ESPÍRITO SANTO,2022-10-01,22.07
1881,RIO DE JANEIRO,2022-10-01,35.47
1882,SÃO PAULO,2022-10-01,25.63
1883,PARANÁ,2022-10-01,21.98
1884,SANTA CATARINA,2022-10-01,20.68
1885,RIO GRANDE DO SUL,2022-10-01,25.3
1886,MATO GROSSO DO SUL,2022-10-01,21.34
1887,MATO GROSSO,2022-10-01,20.99
1888,GOIÁS,2022-10-01,17.76
